COMPANY STAGE,FOUNDED YEAR,is_non_eu,EMPLOYEE COUNT,REVENUE (USD MN),INVESTED FUNDS (ESTIMATED**),OWNERSHIP TYPE,INDUSTRY_CATEGORY
Angel & Seed,2021.0,1,54.0,0.18,Emergent Ventures Opportunity Fund II,Private,Technology
Angel & Seed,2022.0,1,42.0,,Transition VC,Private,Transportation
Early Stage,2018.0,1,78.0,0.06,,Private,Technology
Angel & Seed,2016.0,1,33.0,0.13,,Private,Financial Services
Angel & Seed,2021.0,1,5.0,0.01,India Quotient Fund IV,Private,Technology
Angel & Seed,2018.0,1,28.0,0.02,Sequoia Capital India Growth IV,Private,Technology
Angel & Seed,2021.0,1,11.0,0.0,,Private,Technology
Early Stage,2022.0,1,20.0,0.0,,Private,Technology
Angel & Seed,2018.0,1,83.0,0.1,,Private,Technology
Early Stage,2022.0,1,9.0,,IAN Alpha Fund,Private,Technology
Series A,2016.0,1,69.0,,"3one4 Capital Fund - Scheme II, BEENEXT3, IvyCap Ventures Trust Fund III",Private,Industrial
Early Stage,2019.0,1,6.0,,,Private,Healthcare
Angel & Seed,2020.0,1,36.0,0.09,Physis Capital,Private,Technology
Add-on,2017.0,1,28.0,0.79,,Private,Technology
Angel & Seed,2016.0,1,30.0,,"TRAC Unicorn Fund SPV 2, YC ESP22, Pioneer Fund III, 500 MENA, 500 Southeast Asia Growth Fund",Private,Technology
Angel & Seed,2022.0,1,9.0,0.4,,Private,Technology
Angel & Seed,2021.0,1,162.0,2.71,Lightspeed India Partners IV,Private,Technology
Angel & Seed,2021.0,1,30.0,,,Private,Technology
Angel & Seed,2022.0,1,14.0,,"Campus Fund II, Andreessen Horowitz AI Infrastructure Fund",Private,Technology
Add-on,2017.0,1,115.0,3.43,,Private,Technology
Add-on,2014.0,1,166.0,,,Private,Technology
Angel & Seed,2022.0,1,12.0,,,Private,Technology
Early Stage,2019.0,1,5.0,0.07,,Private,Technology
Angel & Seed,2020.0,1,11.0,0.01,ITI Growth Opportunities Fund,Private,Technology
Angel & Seed,2022.0,1,20.0,,Physis Capital,Private,Technology
Angel & Seed,2017.0,1,23.0,,,Private,Consumer Goods and Services
,2017.0,1,14.0,,,Private,Technology
Early Stage,2022.0,1,41.0,,IAN Alpha Fund,Private,Technology
Early Stage,2016.0,1,20.0,,,Private,Technology
Series A,2014.0,1,207.0,2.17,Baring India Private Equity Fund IV,Private,Technology
Angel & Seed,2021.0,1,7.0,,"Techxila Fund I, Chimera Global Fund I",Private,Technology
Angel & Seed,2020.0,1,63.0,0.1,"YC ESP22, Tribe Digital Future Fund I, Pioneer Fund III",Private,Technology
Angel & Seed,2022.0,1,13.0,2621.95,"Whiteboard Capital Fund, Taijitu Capital, PointOne Capital Trust, 2am Ventures Opportunity Fund, Kael Opportunities Fund",Private,Technology
Angel & Seed,2020.0,1,74.0,0.3,,Private,Healthcare
Early Stage,2020.0,1,72.0,0.23,,Private,Technology
Early Stage,2021.0,1,19.0,0.02,,Private,Technology
Angel & Seed,2021.0,1,6.0,0.0,,Private,Technology
Angel & Seed,2019.0,1,42.0,0.35,,Private,Business Services
Early Stage,2019.0,1,37.0,0.02,Blue Ashva Global Fund I,Private,Transportation
Early Stage,2020.0,1,28.0,0.05,,Private,Technology
Angel & Seed,2021.0,1,42.0,0.15,"9Unicorns Fund, Omnivore Agritech & Climate Sustainability Fund 3, Better Capital Ventures I",Private,Agriculture
,2019.0,1,11.0,0.69,,Private,Technology
Series A,2019.0,1,63.0,0.0,"Season Two Ventures, Aaruha Technology Fund II, Cactus Partners Fund I",Private,Healthcare
Angel & Seed,2019.0,1,11.0,0.03,IvyCap Ventures Trust Fund III,Private,Technology
Angel & Seed,2020.0,1,21.0,0.0,Chiratae Ventures Fund IV,Private,Technology
Add-on,2019.0,1,1.0,,,Private,Technology
Add-on,2015.0,1,18.0,,,Private,Technology
Early Stage,2020.0,1,50.0,,,Private,Business Services
Early Stage,2019.0,1,70.0,0.16,Season Two Ventures,Private,Technology
Early Stage,2022.0,1,8.0,,Antler Global Fund,Private,Technology
Series A,2022.0,1,1.0,,,Private,Industrial
Series A,2022.0,1,51.0,,"Omnivore Partners Fund 2, AgFunder GROW Impact Fund, RTP Ventures Fund III, Orios Venture Partners Fund III, Octave Wellbeing Economy Fund",Private,Environmental
Angel & Seed,2019.0,1,62.0,0.2,"IAN Fund I, Needle 2021-1",Private,Consumer Goods and Services
Angel & Seed,2022.0,1,32.0,0.0,"IFM FinTech Opportunities LP II, Accel India VII",Private,Technology
Angel & Seed,2017.0,1,109.0,0.09,"LV Angel Fund, Blue Ashva Sampada Fund, Peaceful Progress",Private,Technology
Series A,2021.0,1,101.0,0.77,Sequoia SEA Fund I,Private,Technology
Early Stage,2017.0,1,57.0,0.01,,Private,Technology
Angel & Seed,2018.0,1,8.0,,,Private,Consumer Goods and Services
Mature - Growth Capital,2015.0,1,2957.0,,,Private,Technology
Early Stage,2022.0,1,48.0,0.01,ITI Growth Opportunities Fund,Private,Healthcare
Angel & Seed,2021.0,1,19.0,0.0,Exfinity Technology Fund - Series III,Private,Technology
Angel & Seed,2018.0,1,54.0,0.14,,Private,Industrial
Early Stage,2022.0,1,20.0,0.14,,Private,Technology
Early Stage,2016.0,1,42.0,,,Private,Technology
Series A,2019.0,1,64.0,0.68,,Private,Technology
Add-on,2018.0,1,44.0,,,Private,Technology
Early Stage,2022.0,1,3.0,,Antler Global Fund,Private,Technology
Series A,2021.0,1,54.0,1.68,"Jungle Ventures IV, Venture Highway Fund III, Elevation Capital VIII",Private,Technology
Early Stage,2017.0,1,25.0,0.2,,Private,Business Services
Add-on,2019.0,1,18.0,,,Private,Business Services
Early Stage,2020.0,1,95.0,0.42,"Pioneer Fund II, YCCG21, HOF Capital Growth Fund",Private,Technology
Early Stage,2021.0,1,8.0,0.0,,Private,Healthcare
Mature - Growth Capital,2016.0,1,82.0,0.5,Incofin India Progress Fund,Public,Financial Services
,2018.0,1,0.0,,,Private,Consumer Goods and Services
Angel & Seed,2021.0,1,17.0,0.0,"Entrepreneur First (Global), Stellaris Fund II, Exfinity Technology Fund - Series III",Private,Technology
Angel & Seed,2019.0,1,10.0,0.0,"Hyderabad Angels Fund I, SucSeed Indovation Fund",Private,Business Services
Angel & Seed,2017.0,1,80.0,0.05,"9Unicorns Fund, BEENEXT Asia Fund",Private,Financial Services
Angel & Seed,2018.0,1,53.0,0.05,Unicorn India Ventures Fund II,Private,Energy
Angel & Seed,2021.0,1,14.0,,,Private,Technology
Series A,2015.0,1,73.0,0.46,"Inflexor Technology Fund, Exfinity Technology Fund - Series III",Private,Technology
Angel & Seed,2022.0,1,61.0,,"Capital-A, Grand Anicut Fund III, Micelio Fund, Evolve, Csquare Venture Partner Fund I",Private,Technology
Angel & Seed,2019.0,1,61.0,0.03,,Private,Technology
Early Stage,2021.0,1,14.0,,,Private,Technology
Angel & Seed,2019.0,1,66.0,0.03,,Private,Technology
Add-on,2020.0,1,70.0,0.58,,Private,Technology
Early Stage,2017.0,1,47.0,0.05,,Private,Technology
Angel & Seed,2019.0,1,28.0,0.02,SucSeed Indovation Fund,Private,Technology
Angel & Seed,2019.0,1,20.0,0.0,,Private,Financial Services
Angel & Seed,2021.0,1,3.0,0.0,,Private,Technology
Angel & Seed,2016.0,1,20.0,0.02,Saama Capital IV,Private,Transportation
Angel & Seed,2017.0,1,5.0,0.0,,Private,Energy
Angel & Seed,2020.0,1,45.0,,SOSV IV,Private,Technology
Angel & Seed,2021.0,1,18.0,,"Z5 Spark Fund I, Chiratae Ventures Fund IV, Blume Ventures Fund IV",Private,Technology
Angel & Seed,2021.0,1,40.0,,SOSV IV,Private,Transportation
Angel & Seed,2021.0,1,35.0,0.0,"Anthill Capital Ventures India, Chiratae Ventures Fund IV",Private,Technology
Angel & Seed,2021.0,1,21.0,0.0,,Private,Healthcare
Angel & Seed,2021.0,1,25.0,0.0,India Quotient Fund IV,Private,Technology
Angel & Seed,2021.0,1,53.0,,"Indus Valley Capital II, K2 Global Fund II",Private,Technology
Series A,2015.0,1,358.0,3.67,,Private,Media and Entertainment
Series A,2020.0,1,126.0,0.47,"Multiply Ventures Fund, Piper Serica Fund I, Sorin Investment Fund",Private,Financial Services
Angel & Seed,2019.0,1,62.0,0.28,,Private,Industrial
Angel & Seed,2021.0,1,10.0,0.0,,Private,Technology
Early Stage,2020.0,1,27.0,,,Private,Technology
Series A,2017.0,1,100.0,0.38,"Kae Capital II, Sony Innovation Fund, 9Unicorns Fund, Exfinity Technology Fund - Series III, Kalysta Capital Fund II (Mauritius), Kael Opportunities Fund",Private,Healthcare
Angel & Seed,2020.0,1,49.0,0.03,"Varanium NexGen Fund, SucSeed Indovation Fund",Private,Technology
Series A,2021.0,1,184.0,,"Lightspeed India Partners III, Grand Anicut Fund III",Private,Transportation
Series B,2019.0,1,464.0,0.0,"SucSeed Indovation Fund, Capital 2B Fund I",Private,Technology
Angel & Seed,2021.0,1,18.0,0.0,"Entrepreneur First (Global), YourNest Innovative Products VC Fund III",Private,Technology
Angel & Seed,2020.0,1,44.0,0.06,Zephyr Peacock India Growth Fund,Private,Energy
Angel & Seed,2017.0,1,64.0,0.84,7percent Ventures II,Private,Transportation
Early Stage,2019.0,1,43.0,0.03,Axilor Technology Fund,Private,Financial Services
Add-on,2017.0,1,66.0,,,Private,Media and Entertainment
Early Stage,2018.0,1,29.0,0.04,SucSeed Indovation Fund,Private,Technology
Early Stage,2021.0,1,12.0,,"Cornerstone Venture Partners Fund – I, 100X.VC, Propell Fund",Private,Technology
Angel & Seed,2021.0,1,29.0,0.0,Chiratae Ventures Fund IV,Private,Transportation
Angel & Seed,2021.0,1,16.0,0.01,"Grand Anicut Fund I, Blume Ventures Fund IV, First Cheque Fund II",Private,Technology
Angel & Seed,2016.0,1,1109.0,0.55,Guild Capital - Healthtech I,Private,Technology
Early Stage,2016.0,1,84.0,,Better Capital Ventures I,Private,Technology
Add-on,2015.0,1,145.0,1.3,,Private,Technology
Angel & Seed,2020.0,1,101.0,0.02,"Kalaari Capital Partners IV, Good Capital Fund 1",Private,Technology
Series B,2016.0,1,174.0,2.83,Valor Equity Partners Fund VI,Private,Technology
Angel & Seed,2021.0,1,24.0,0.27,,Private,Technology
,2022.0,1,104518.0,,,Private,Technology
,2017.0,1,9.0,0.53,Techstars Accelerator Partners I,Private,Technology
Angel & Seed,2020.0,1,68.0,0.0,"Chiratae Ventures Fund IV, Entrepreneur First (Global), Endiya Partners Fund II",Private,Technology
Angel & Seed,2017.0,1,33.0,0.11,,Private,Technology
Series B,2015.0,1,441.0,48.45,"LV Angel Fund, Alpha Wave Ventures I, Tiger Global Private Investment Partners XV, Sequoia SEA Fund I, Surge Ventures III",Private,Healthcare
Early Stage,2016.0,1,25.0,0.12,LV Angel Fund,Private,Agriculture
Angel & Seed,2019.0,1,43.0,0.0,"SucSeed Indovation Fund, DVC India Fund I",Private,Technology
Angel & Seed,2017.0,1,8.0,0.01,,Private,Technology
Angel & Seed,2021.0,1,79.0,0.02,"Kalaari Capital Partners IV, Taijitu Capital",Private,Media and Entertainment
Series A,2019.0,1,19.0,0.75,"Rajasthan Venture Capital Fund III, Unicorn India Ventures Fund II",Private,Technology
Angel & Seed,2020.0,1,42.0,0.0,,Private,Technology
Early Stage,2021.0,1,134.0,0.64,"JM Financial India Growth Fund III, Propell Fund",Private,Business Services
Early Stage,2021.0,1,7.0,,"Speciale Invest Fund II, First Cheque Fund II",Private,Technology
Early Stage,2018.0,1,21.0,0.16,,Private,Technology
,2017.0,1,8.0,0.15,"YourNest India VC Fund II, LV Angel Fund",Private,Financial Services
Angel & Seed,2017.0,1,20.0,0.62,"Sprout Venture Partners Fund, Blume Ventures Fund IV",Private,Technology
Early Stage,2020.0,1,4.0,0.04,,Private,Real Estate
Early Stage,2021.0,1,20.0,0.0,100X.VC,Private,Technology
Angel & Seed,2019.0,1,24.0,0.05,SucSeed Indovation Fund,Private,Technology
Angel & Seed,2016.0,1,31.0,0.28,"Acumen Resilient Agriculture Fund, Caspian Leap For Agriculture Fund",Private,Technology
Early Stage,2019.0,1,39.0,0.23,,Private,Business Services
Angel & Seed,2018.0,1,139.0,0.34,"LV Angel Fund, Vinyl Capital I, Csquare Venture Partner Fund I, Vibe Capital Fund II",Private,Media and Entertainment
Add-on,2018.0,1,30.0,0.11,,Private,Financial Services
Add-on,2014.0,1,341.0,7.65,,Private,Technology
Early Stage,2022.0,1,425.0,0.03,"Artha Venture Fund I, Better Capital Ventures I",Private,Financial Services
Early Stage,2018.0,1,56.0,0.4,,Private,Technology
Early Stage,2020.0,1,78.0,0.05,"Artha Venture Fund, Singularity Growth Opportunities Fund-I, Sprout Fund II, Singularity Growth Opportunities Fund-II",Private,Financial Services
Add-on,2015.0,1,160.0,0.79,,Private,Technology
Early Stage,2019.0,1,48.0,0.03,"Capital-A, Grand Anicut Fund III",Private,Energy
Early Stage,2021.0,1,17.0,,,Private,Technology
Add-on,2017.0,1,0.0,0.0,,Private,Technology
Angel & Seed,2021.0,1,52.0,0.01,,Private,Technology
Early Stage,2019.0,1,107.0,0.08,,Private,Technology
Add-on,2015.0,1,114.0,3.25,,Private,Consumer Goods and Services
Angel & Seed,2019.0,1,12.0,0.0,Artha Venture Fund I,Private,Technology
Add-on,2016.0,1,13.0,0.07,LOVC Cypress SPV,Private,Transportation
Angel & Seed,2020.0,1,23.0,0.47,,Private,Consumer Goods and Services
Angel & Seed,2019.0,1,128.0,3.88,,Private,Business Services
Angel & Seed,2015.0,1,79.0,0.18,LV Angel Fund,Private,Environmental
Angel & Seed,2018.0,1,28.0,0.24,Pentathlon Ventures,Private,Technology
Early Stage,2020.0,1,45.0,0.0,YCCG21,Private,Technology
Angel & Seed,2020.0,1,28.0,0.0,"Kae Capital III, iSeed II, Kael Opportunities Fund",Private,Technology
Add-on,2016.0,1,45.0,0.23,,Private,Technology
Early Stage,2019.0,1,51.0,1.89,"9Unicorns Fund, Blue Ashva Sampada Fund, Blue Ashva Global Fund I, Motion Ventures Fund I",Private,Technology
Angel & Seed,2017.0,1,154.0,0.96,"Alacrity India Fund, Pentathlon Ventures",Private,Technology
Angel & Seed,2019.0,1,24.0,0.0,"LV Angel Fund, Blume Ventures Fund IV",Private,Transportation
Angel & Seed,2017.0,1,33.0,0.03,"Avaana Capital Growth Fund I, Social Impact Capital Fund I, Paradigm Shift Capital Partners",Private,Technology
Add-on,2015.0,1,42.0,0.82,,Private,Consumer Goods and Services
Add-on,2018.0,1,6.0,0.01,,Private,Technology
Series A,2018.0,1,40.0,0.0,,Private,Technology
Add-on,2017.0,1,32.0,,True North Fund V,Private,Technology
Angel & Seed,2021.0,1,,0.46,Sequoia SEA Fund I,Private,Technology
Early Stage,2017.0,1,3.0,,,Private,Agriculture
Angel & Seed,2019.0,1,14.0,,SOSV IV,Private,Industrial
Series A,2021.0,1,175.0,3.47,"Alpha Wave Ventures I, Trifecta Venture Debt Fund III, Tiger Global Private Investment Partners XV",Private,Technology
Angel & Seed,2019.0,1,2.0,0.01,Arali Investment Trust,Private,Technology
Early Stage,2021.0,1,2.0,,,Private,Consumer Goods and Services
Add-on,2016.0,1,887.0,42.09,,Private,Industrial
Add-on,2017.0,1,6.0,,,Private,Technology
Angel & Seed,2021.0,1,51.0,0.3,"9Unicorns Fund, LV Angel Fund",Private,Media and Entertainment
Series A,2018.0,1,61.0,0.25,"Accion Digital Transformation Fund, Fasanara Capital Crypto and Fintech VC Fund, Pravega VC II",Private,Financial Services
Add-on,2020.0,1,11.0,0.0,"Speciale Invest Fund I, 3one4 Capital Fund III, Stargazer Ventures, Eximius Trust I",Private,Technology
Angel & Seed,2021.0,1,7.0,0.58,,Private,Healthcare
Early Stage,2016.0,1,44.0,0.04,,Private,Business Services
Angel & Seed,2018.0,1,12.0,0.0,IAN Fund I,Private,Healthcare
Angel & Seed,2019.0,1,38.0,0.09,,Private,Financial Services
Angel & Seed,2018.0,1,70.0,0.16,,Private,Technology
Add-on,2017.0,1,133.0,1.19,,Private,Technology
Series B,2017.0,1,297.0,5.88,"SAIF Partners V, Accel India V, BEENEXT3, SAIF Partners India VII, BEENEXT Accelerate Fund 1, Ascent Private Equity Trust",Private,Agriculture
Angel & Seed,2021.0,1,30.0,0.0,,Private,Healthcare
Early Stage,2020.0,1,13.0,0.0,,Private,Consumer Goods and Services
Angel & Seed,2021.0,1,49.0,0.01,"Better Capital Ventures I, ON Fund I",Private,Healthcare
Add-on,2014.0,1,34.0,0.3,,Private,Technology
Add-on,2016.0,1,9.0,,,Private,Technology
Early Stage,2020.0,1,7.0,0.0,,Private,Technology
Series A,2017.0,1,302.0,1.77,"Info Edge Venture Fund, Vertex Ventures US Fund III, IE Venture Investment Fund II",Private,Technology
Series A,2017.0,1,137.0,0.52,"Baring India Private Equity Fund IV, ADB Ventures Investment Fund I, Promus Compost Investment Holdings",Private,Technology
Series A,2016.0,1,88.0,0.62,Chiratae Ventures Fund IV,Private,Technology
Angel & Seed,2021.0,1,28.0,0.0,"Entrepreneur First (Global), LV Angel Fund, WEH Ventures Fund II",Private,Technology
Early Stage,2021.0,1,7.0,0.0,Entrepreneur First (Global),Private,Technology
Angel & Seed,2021.0,1,25.0,0.0,"Entrepreneur First (Global), IvyCap Ventures Trust Fund III, Rukam Capital I",Private,Technology
Add-on,2020.0,1,10.0,0.0,Eight Innovate Fund I,Private,Technology
Growth,2020.0,1,20.0,,"Orbit Startups III, Orbit Fund II",Private,Technology
Early Stage,2017.0,1,3.0,0.0,,Private,Healthcare
Angel & Seed,2020.0,1,22.0,0.0,,Private,Transportation
Angel & Seed,2016.0,1,31.0,0.06,"Arali Investment Trust, Arali Investment Trust II",Private,Technology
Angel & Seed,2020.0,1,15.0,0.01,Kalaari Capital Partners IV,Private,Technology
Angel & Seed,2017.0,1,49.0,0.2,Paradigm Shift Capital Partners,Private,Business Services
Angel & Seed,2020.0,1,62.0,0.12,"Kalaari Capital Partners III, Kalaari Capital Partners IV, Arka Venture Labs Fund I, Emergent Ventures Opportunity Fund II, Foster Ventures Fund I, Picus Venture Fund I",Private,Technology
Angel & Seed,2019.0,1,141.0,,Inventus III-Silicon Valley,Private,Technology
Angel & Seed,2020.0,1,15.0,0.19,"Antler India Fund, Blume Ventures Fund IV, Surge Ventures III",Private,Technology
Angel & Seed,2019.0,1,71.0,0.5,,Private,Technology
Series A,2015.0,1,165.0,0.37,IAN Fund I,Private,Technology
Angel & Seed,2020.0,1,143.0,0.07,Nexus India Capital V,Private,Consumer Goods and Services
Angel & Seed,2019.0,1,13.0,0.05,Axilor Technology Fund,Private,Financial Services
Angel & Seed,2019.0,1,11.0,0.0,,Private,Technology
Angel & Seed,2018.0,1,145.0,1.61,,Private,Technology
Angel & Seed,2018.0,1,36.0,0.14,,Private,Technology
Angel & Seed,2016.0,1,18.0,0.23,North East Venture Fund,Private,Technology
Angel & Seed,2018.0,1,22.0,0.05,"SucSeed Indovation Fund, Physis Capital",Private,Healthcare
Early Stage,2019.0,1,18.0,0.01,,Private,Business Services
Angel & Seed,2018.0,1,247.0,1.2,"Leo Technology Fund II, Hashed Emergent Fund",Private,Consumer Goods and Services
Angel & Seed,2020.0,1,36.0,0.19,,Private,Financial Services
Early Stage,2014.0,1,14.0,0.1,,Private,Transportation
Series B,2019.0,1,49.0,0.21,IAN Fund I,Private,Agriculture
Early Stage,2015.0,1,23.0,0.1,IAN Fund I,Private,Technology
Angel & Seed,2020.0,1,77.0,0.28,"Saama Capital IV, Titan Seed Fund I",Private,Technology
Angel & Seed,2020.0,1,178.0,,"Indus Valley Capital, Wavemaker SEA Fund IV, Quiet Venture II, Buckley AL SPV, Soma Capital Rappi SPV, 20VC Explorer Fund II",Private,Technology
Early Stage,2015.0,1,235.0,2.73,West Bengal MSME VC Fund,Private,Technology
Angel & Seed,2020.0,1,16.0,0.0,"Entrepreneur First (Global), Pi Ventures Fund II",Private,Healthcare
Angel & Seed,2019.0,1,4.0,0.0,"Grand Anicut Fund I, 9Unicorns Fund",Private,Technology
Series A,2017.0,1,109.0,0.0,"Inventus III-India, Village Global II, True Ventures VII, Exfinity Technology Fund - Series III, Blume Ventures Fund IV, MOBILIZE GROWTH OPPORTUNITY I",Private,Transportation
Angel & Seed,2019.0,1,17.0,0.01,,Private,Agriculture
Angel & Seed,2018.0,1,38.0,0.02,"100X.VC, 2am Ventures Opportunity Fund, Magic Opportunities Fund II, YC ESP22, Propell Fund",Private,Technology
Angel & Seed,2016.0,1,53.0,0.65,,Private,Technology
Angel & Seed,2019.0,1,36.0,0.44,"021 Capital, YCCG21",Private,Technology
Early Stage,2020.0,1,47.0,0.11,"100X.VC, Inflexor Technology Fund",Private,Technology
Angel & Seed,2020.0,1,98.0,0.43,,Private,Agriculture
Series A,2018.0,1,26.0,0.19,IAN Fund I,Private,Transportation
Early Stage,2020.0,1,58.0,0.22,,Private,Technology
Series B,2018.0,1,687.0,11.34,"Kae Capital II, Alpha Wave Ventures I, Info Edge Venture Fund, Kalysta Capital Fund II (Mauritius), Alpha Wave Ventures II, Kae Capital Fund IIA Scheme",Private,Technology
Angel & Seed,2020.0,1,20.0,0.07,,Private,Transportation
Angel & Seed,2018.0,1,30.0,0.15,,Private,Technology
